CurrentDateTime,RSSI,RSRP,RSRQ,RSSNR,CQI,TA,Level,ANDRO_ID,Bitrate (DataSource),Bitrate (Mpd),Resolution (Displayed),Resolution (Mpd),Rebuffering (Last),Segment Size,State Current
2024-02-14T15:41:45.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6841,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:46.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6919,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:47.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6919,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:48.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7677,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:49.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7677,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:50.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9201,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:51.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9201,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:52.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9201,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:53.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8351,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:54.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8351,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:55.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7718,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:56.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7718,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:57.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7718,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:58.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7718,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:59.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7557,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:00.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7557,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:01.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7332,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:02.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7332,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:03.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7332,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:04.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7332,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:05.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7833,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:06.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7833,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:42:07.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8128,4375,1920x1080,1920x1080,962,2.0,STATE_READY
